sample	batch	tissue	fmol	expected_coverage	mean_duplex_cov	median_duplex_cov	mean_bulk_cov	pct_selected_bases	all_est_efficiency	all_dup_rate	all_f_eff	all_gc_both	all_gc_single	all_prop_ok_bundles	inpanel_est_efficiency	inpanel_dup_rate	inpanel_f_eff	inpanel_gc_both	inpanel_gc_single	inpanel_prop_ok_bundles	pass_subs	total_subs	pass_indels	total_indels	total_sites	observed_burden	observed_burden_lci	observed_burden_uci	corrected_burden	corrected_burden_lci	corrected_burden_uci
PD42774a_tds0001	2	Sjogrens_Epithelium	10.37	31.11	20.96452453	19	131.015449	0.789859	0.022761621	0.831013601	0.6116438	0.4705199	0.4981884	0.128567727	0.022643083	0.863154365	0.6168091	0.4718616	0.4989056	0.157460061	423	542	38	43	1249016905	3.39E-07	3.07E-07	3.73E-07	3.05E-07	2.77E-07	3.36E-07
PD42774a_tds0002	1	Sjogrens_Lymphocyte	76	228	108.4459429	91	1004.934405	0.764368	0.017535323	0.798492382	0.7078722	0.4444546	0.4693333	0.083750563	0.017849271	0.838918025	0.7144804	0.4453822	0.4692826	0.105097347	2827	3385	208	274	6688651672	4.23E-07	4.07E-07	4.39E-07	3.99E-07	3.85E-07	4.14E-07
PD45527a_tds0001	2	Sjogrens_Epithelium	26.72	80.16	42.70726168	39	332.562152	0.74401	0.018130586	0.823667842	0.6761756	0.4632375	0.4872879	0.098216245	0.018064197	0.860917291	0.6818528	0.4637458	0.4861465	0.122784077	1317	2257	110	149	2636862638	4.99E-07	4.73E-07	5.27E-07	4.64E-07	4.39E-07	4.90E-07
PD45527a_tds0002	1	Sjogrens_Lymphocyte	85	255	124.5578085	109	1268.595013	0.759308	0.016597444	0.787000445	0.7186586	0.4573844	0.4779286	0.074386928	0.017053796	0.827452187	0.7244734	0.4583559	0.4779407	0.093404481	3933	4478	303	379	7378127898	5.33E-07	5.17E-07	5.50E-07	4.97E-07	4.82E-07	5.13E-07
PD45527a_tds0002	2	Sjogrens_Lymphocyte	42	126	66.92806217	59	619.344433	0.755042	0.019611141	0.76875652	0.6780365	0.4529284	0.4717969	0.081082578	0.020389254	0.811765685	0.681442	0.4510861	0.4746156	0.102203553	2199	2509	141	184	4004948820	5.49E-07	5.26E-07	5.73E-07	5.17E-07	4.95E-07	5.39E-07
PD45528a_tds0001	2	Sjogrens_Epithelium	15.09	45.27	24.03618645	22	183.670708	0.762066	0.016925387	0.84433092	0.6836438	0.4666048	0.4893333	0.103761118	0.01679477	0.873949129	0.6866087	0.4671903	0.4884421	0.126241727	725	1081	53	74	1425475299	5.09E-07	4.72E-07	5.47E-07	4.60E-07	4.28E-07	4.95E-07
PD45528a_tds0002	1	Sjogrens_Lymphocyte	30.3	90.9	48.61502476	44	364.191976	0.766016	0.015814601	0.858232935	0.705685	0.4561161	0.4732328	0.105837003	0.015537843	0.886622374	0.7123431	0.4544659	0.4694559	0.129289119	2240	2522	150	178	3005065522	7.45E-07	7.15E-07	7.77E-07	6.95E-07	6.66E-07	7.24E-07
PD45529a_tds0001	2	Bulk_NonSjogrens	20.31	60.93	29.90657215	26	266.902948	0.79246	0.019512305	0.790645438	0.682188	0.4506851	0.4792046	0.089449714	0.019911908	0.826719109	0.6866154	0.4512343	0.4804698	0.10945808	798	1009	48	61	1804648782	4.42E-07	4.12E-07	4.74E-07	4.18E-07	3.90E-07	4.48E-07
PD45530a_tds0001	1	Bulk_NonSjogrens	75	225	118.3984358	99	1110.319116	0.783616	0.019027995	0.782419436	0.6848846	0.4510509	0.4787309	0.08424446	0.019466375	0.823019267	0.693012	0.4535485	0.4789369	0.105298014	1552	1960	162	217	7149607080	2.17E-07	2.06E-07	2.28E-07	2.04E-07	1.94E-07	2.14E-07
PD45531a_tds0001	2	Sjogrens_Epithelium	20.56	61.68	40.58828367	36	282.930681	0.787505	0.025544207	0.784383123	0.5922903	0.4764284	0.4965409	0.115127509	0.02590927	0.825631019	0.6022409	0.4721749	0.4966886	0.144736593	737	1388	60	92	2496079384	2.95E-07	2.74E-07	3.17E-07	2.73E-07	2.54E-07	2.94E-07
PD45532a_tds0001	2	Sjogrens_Epithelium	23.32	69.96	54.16383993	49	352.80701	0.7848	0.025471758	0.800998843	0.5939632	0.4760145	0.4969829	0.123444356	0.025682656	0.840336939	0.6025658	0.4744926	0.4966807	0.15415106	1092	1434	78	99	3340528822	3.27E-07	3.08E-07	3.47E-07	2.92E-07	2.75E-07	3.10E-07
PD45533a_tds0001	2	Sjogrens_Bulk	18.39	55.17	41.38556228	37	250.505657	0.747103	0.024052617	0.822946483	0.6006992	0.448704	0.4756048	0.13192961	0.024227984	0.8600494	0.6050729	0.4495303	0.472574	0.166013945	924	1248	99	121	2564788834	3.60E-07	3.37E-07	3.84E-07	3.35E-07	3.13E-07	3.57E-07
